Profile Summary
Generated on: 2020-10-16 01:34:34
Msec since Epoch: 1602812074924
Profiled application: host
Target platform: 
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 
Target devices: xilinx_aws-vu9p-f1_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,4139.63,4139.63,4139.63,4139.63,
clReleaseProgram,1,57.3884,57.3884,57.3884,57.3884,
clCreateContext,1,46.9873,46.9873,46.9873,46.9873,
clReleaseContext,1,13.2981,13.2981,13.2981,13.2981,
clEnqueueTask,1,10.5131,10.5131,10.5131,10.5131,
clEnqueueMapBuffer,3,1.3321,0.060202,0.444032,1.11348,
clCreateKernel,1,1.29739,1.29739,1.29739,1.29739,
clFinish,1,0.332383,0.332383,0.332383,0.332383,
clWaitForEvents,2,0.184615,0.006972,0.0923075,0.177643,
clReleaseMemObject,7,0.094904,0.004621,0.0135577,0.059764,
clEnqueueUnmapMemObject,3,0.078779,0.017152,0.0262597,0.03967,
clSetKernelArg,6,0.075795,0.004658,0.0126325,0.030752,
clGetExtensionFunctionAddress,2,0.075568,0.014702,0.037784,0.060866,
clEnqueueMigrateMemObjects,1,0.070528,0.070528,0.070528,0.070528,
clGetPlatformInfo,14,0.065828,0.0044,0.004702,0.005588,
clCreateBuffer,3,0.039653,0.006437,0.0132177,0.023572,
clReleaseKernel,1,0.021187,0.021187,0.021187,0.021187,
clRetainMemObject,4,0.020524,0.00449,0.005131,0.006209,
clCreateCommandQueue,1,0.016089,0.016089,0.016089,0.016089,
clReleaseEvent,2,0.015975,0.007593,0.0079875,0.008382,
clGetExtensionFunctionAddressForPlatform,2,0.015209,0.005281,0.0076045,0.009928,
clGetDeviceIDs,2,0.014695,0.005143,0.0073475,0.009552,
clRetainDevice,2,0.013156,0.004808,0.006578,0.008348,
clReleaseDevice,2,0.012284,0.005256,0.006142,0.007028,
clReleaseCommandQueue,1,0.006275,0.006275,0.006275,0.006275,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult,1,0.250126,0.250126,0.250126,0.250126,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1,mmult,1:1:1,1:1:1,1,Yes,1,1.000000x,0.037292,0.037292,0.037292,0.037292,250,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,237.480251,2.473753,16.384,0.068991,0.068991,
context0:1,WRITE,4,294.728207,3.070085,20.48,0.277951,0.069488,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm1,Input_1|Output,DDR[1],READ,16,12526,100,1.024,798,
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm1,Input_1|Output,DDR[1],WRITE,16,3908.4,33.9271,1.024,262,
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm2,Input_2,DDR[2],READ,16,12526,100,1.024,798,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1,48,1024,25,0.049152,0.016384,0.032768,7219.74,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
21063408,mmult,0,0,xilinx_aws-vu9p-f1_dynamic_5_0-0,4493.71,0.250126,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,4483.15,0.104843,32.768,312.543517,
17179869184,0,0,4494.71,0.074725,16.384,219.257277,
0,0,0,4494.6,0.065412,16.384,250.473919,
16384,0,0,4494.82,0.032971,16.384,496.921537,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
16384,0,0,4494.09,0.068991,16.384,237.480251,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_dynamic_5_0-0,0.250126,
CU_CALLS,xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult_1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_MEMORY|2,2,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[2],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[3],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_1/m_axi_aximm1,512,
PORT_BIT_WIDTH,mmult_1/m_axi_aximm2,512,
KERNEL_COUNT,mmult,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult,1,
COMMAND_QUEUE_OOO,21063920,0,
PLRAM_SIZE_BYTES,xilinx_aws-vu9p-f1_dynamic_5_0-0,131072,
KERNEL_BUFFER_INFO,mmult|Input_1|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,mmult|Input_2|DDR[2]|1,16384,
KERNEL_BUFFER_INFO,mmult|Output|DDR[1]|1,16384,
TRACE_BUFFER_FULL,xilinx_aws-vu9p-f1_dynamic_5_0-0,0,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.068991,
BUFFER_WR_ACTIVE_TIME_MS,all,0.277951,
BUFFER_TX_ACTIVE_TIME_MS,all,11.7064,
APPLICATION_RUN_TIME_MS,all,4565.8,
TOTAL_KERNEL_RUN_TIME_MS,all,0.250126,


