Timeline Trace
Generated on: 2020-10-16 01:34:34
Msec since Epoch: 1602812074924
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
293.047115,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
293.09252,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
293.102448,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
293.107981,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
293.114619,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
293.11964,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
293.124921,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
293.129321,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
293.13626,clGetPlatformInfo|General,START,,,,,,,,,,,4,
293.141848,clGetPlatformInfo|General,END,,,,,,,,,,,4,
293.146299,clGetPlatformInfo|General,START,,,,,,,,,,,5,
293.150956,clGetPlatformInfo|General,END,,,,,,,,,,,5,
293.163182,clGetPlatformInfo|General,START,,,,,,,,,,,6,
293.16837,clGetPlatformInfo|General,END,,,,,,,,,,,6,
293.17285,clGetPlatformInfo|General,START,,,,,,,,,,,7,
293.177397,clGetPlatformInfo|General,END,,,,,,,,,,,7,
293.181769,clGetPlatformInfo|General,START,,,,,,,,,,,8,
293.186446,clGetPlatformInfo|General,END,,,,,,,,,,,8,
293.190756,clGetPlatformInfo|General,START,,,,,,,,,,,9,
293.195156,clGetPlatformInfo|General,END,,,,,,,,,,,9,
293.199524,clGetPlatformInfo|General,START,,,,,,,,,,,10,
293.20407,clGetPlatformInfo|General,END,,,,,,,,,,,10,
293.208437,clGetPlatformInfo|General,START,,,,,,,,,,,11,
293.212875,clGetPlatformInfo|General,END,,,,,,,,,,,11,
293.217292,clGetPlatformInfo|General,START,,,,,,,,,,,12,
293.221972,clGetPlatformInfo|General,END,,,,,,,,,,,12,
293.226359,clGetPlatformInfo|General,START,,,,,,,,,,,13,
293.230818,clGetPlatformInfo|General,END,,,,,,,,,,,13,
293.235199,clGetPlatformInfo|General,START,,,,,,,,,,,14,
293.239604,clGetPlatformInfo|General,END,,,,,,,,,,,14,
293.243946,clGetPlatformInfo|General,START,,,,,,,,,,,15,
293.248382,clGetPlatformInfo|General,END,,,,,,,,,,,15,
293.264186,clGetPlatformInfo|General,START,,,,,,,,,,,16,
293.269509,clGetPlatformInfo|General,END,,,,,,,,,,,16,
293.274008,clGetPlatformInfo|General,START,,,,,,,,,,,17,
293.278492,clGetPlatformInfo|General,END,,,,,,,,,,,17,
293.313112,clGetDeviceIDs|General,START,,,,,,,,,,,18,
293.322664,clGetDeviceIDs|General,END,,,,,,,,,,,18,
293.327742,clGetDeviceIDs|General,START,,,,,,,,,,,19,
293.332885,clGetDeviceIDs|General,END,,,,,,,,,,,19,
293.342031,clRetainDevice|General,START,,,,,,,,,,,20,
293.350379,clRetainDevice|General,END,,,,,,,,,,,20,
293.355385,clRetainDevice|General,START,,,,,,,,,,,21,
293.360193,clRetainDevice|General,END,,,,,,,,,,,21,
293.367356,clCreateContext|General,START,,,,,,,,,,,22,
340.354692,clCreateContext|General,END,,,,,,,,,,,22,
340.436627,clCreateProgramWithBinary|General,START,,,,,,,,,,,23,
4480.069256,clCreateProgramWithBinary|General,END,,,,,,,,,,,23,
4480.095354,clCreateCommandQueue|General,START,,,,,,,,,,,24,
4480.111443,clCreateCommandQueue|General,END,,,,,,,,,,,24,
4480.122336,clCreateKernel|General,START,,,,,,,,,,,25,
4481.41973,clCreateKernel|General,END,,,,,,,,,,,25,
4481.439784,clCreateBuffer|General,START,,,,,,,,,,,26,
4481.463356,clCreateBuffer|General,END,,,,,,,,,,,26,
4481.46923,clCreateBuffer|General,START,,,,,,,,,,,27,
4481.475667,clCreateBuffer|General,END,,,,,,,,,,,27,
4481.48062,clCreateBuffer|General,START,,,,,,,,,,,28,
4481.490264,clCreateBuffer|General,END,,,,,,,,,,,28,
4481.502836,clSetKernelArg|General,START,,,,,,,,,,,29,
4481.533588,clSetKernelArg|General,END,,,,,,,,,,,29,
4481.540191,clSetKernelArg|General,START,,,,,,,,,,,30,
4481.552156,clSetKernelArg|General,END,,,,,,,,,,,30,
4481.55745,clSetKernelArg|General,START,,,,,,,,,,,31,
4481.572218,clSetKernelArg|General,END,,,,,,,,,,,31,
4481.584943,clEnqueueMapBuffer|21063936,START,,,,,,,,,,,32,
4482.698426,clEnqueueMapBuffer|21063936,END,,,,,,,,,,,32,
4482.717179,clEnqueueMapBuffer|21063936,START,,,,,,,,,,,33,
4482.777381,clEnqueueMapBuffer|21063936,END,,,,,,,,,,,33,
4482.976809,clSetKernelArg|General,START,,,,,,,,,,,34,
4482.984879,clSetKernelArg|General,END,,,,,,,,,,,34,
4482.9902,clSetKernelArg|General,START,,,,,,,,,,,35,
4482.995782,clSetKernelArg|General,END,,,,,,,,,,,35,
4483.000493,clSetKernelArg|General,START,,,,,,,,,,,36,
4483.005151,clSetKernelArg|General,END,,,,,,,,,,,36,
4483.012679,clRetainMemObject|General,START,,,,,,,,,,,37,
4483.018888,clRetainMemObject|General,END,,,,,,,,,,,37,
4483.023639,clRetainMemObject|General,START,,,,,,,,,,,38,
4483.028658,clRetainMemObject|General,END,,,,,,,,,,,38,
4483.033301,clRetainMemObject|General,START,,,,,,,,,,,39,
4483.038107,clRetainMemObject|General,END,,,,,,,,,,,39,
4483.042612,clRetainMemObject|General,START,,,,,,,,,,,40,
4483.047102,clRetainMemObject|General,END,,,,,,,,,,,40,
4483.053828,clEnqueueMigrateMemObjects|21063936,START,,,,,,,,,,,41,
4483.071828,WRITE_BUFFER,QUEUE,0X0|bank1-bank2,32768,,,,,,,,,
4483.094449,WRITE_BUFFER,SUBMIT,0X0|bank1-bank2,32768,,,,,,,,,
4483.124356,clEnqueueMigrateMemObjects|21063936,END,,,,,,,,,,,41,
